subclade	alias of	unaliased name	parent
A		A	none
B	A.1	A.1	A
C	A.2	A.2	A
C.1		A.2.1	C
C.1.1		A.2.1.1	C.1
C.1.2		A.2.1.2	C.1
C.1.3		A.2.1.3	C.1
C.1.4		A.2.1.4	C.1
C.1.5		A.2.1.5	C.1
C.1.6		A.2.1.6	C.1
C.1.7		A.2.1.7	C.1
C.1.7.1		A.2.1.7.1	C.1.7
C.1.7.2		A.2.1.7.2	C.1.7
C.1.8		A.2.1.8	C.1
C.1.9		A.2.1.9	C.1
C.1.9.1		A.2.1.9.1	C.1.9
C.1.9.2		A.2.1.9.2	C.1.9
C.1.9.3		A.2.1.9.3	C.1.9
C.1.9.4		A.2.1.9.4	C.1.9
D	C.1.1.1	A.2.1.1.1	C.1.1
D.1		A.2.1.1.1.1	D
D.2		A.2.1.1.1.2	D
D.3		A.2.1.1.1.3	D
D.3.1		A.2.1.1.1.3.1	D.3
D.3.1.1		A.2.1.1.1.3.1.1	D.3.1
D.4		A.2.1.1.1.4	D
D.5		A.2.1.1.1.5	D
